time, prey, predator
101.55, 0.430702, 1.85799
102.05, 0.463449, 1.8478
102.55, 0.500505, 1.84408
103.05, 0.540677, 1.84747
103.55, 0.582111, 1.85846
104.05, 0.622231, 1.8772
104.55, 0.657834, 1.90341
105.05, 0.685415, 1.93622
105.55, 0.70172, 1.97407
106.05, 0.704443, 2.01474
106.55, 0.692838, 2.05548
107.05, 0.668002, 2.09334
107.55, 0.632667, 2.12555
108.05, 0.59057, 2.14993
108.55, 0.545662, 2.16512
109.05, 0.501417, 2.17066
109.55, 0.460459, 2.1669
110.05, 0.424477, 2.15475
110.55, 0.394364, 2.13553
111.05, 0.370444, 2.11069
111.55, 0.352698, 2.08173
112.05, 0.340946, 2.05009
112.55, 0.334977, 2.01707
113.05, 0.334623, 1.98391
113.55, 0.339795, 1.95171
114.05, 0.350491, 1.92151
114.55, 0.366775, 1.89427
115.05, 0.388725, 1.87095
115.55, 0.416356, 1.85245
116.05, 0.449507, 1.83968
116.55, 0.48768, 1.83349
117.05, 0.529867, 1.83466
117.55, 0.574356, 1.84381
118.05, 0.618612, 1.8613
118.55, 0.659293, 1.88702
119.05, 0.692517, 1.92031
119.55, 0.714418, 1.95974
120.05, 0.72194, 2.0031
120.55, 0.713633, 2.04751
121.05, 0.690145, 2.08971
121.55, 0.654149, 2.12653
122.05, 0.609698, 2.15534
122.55, 0.56129, 2.1744
123.05, 0.512997, 2.18298
123.55, 0.467933, 2.18131
124.05, 0.428114, 2.17033
124.55, 0.394593, 2.15141
125.05, 0.367733, 2.12615
125.55, 0.34748, 2.09616
126.05, 0.333586, 2.06301
126.55, 0.325763, 2.02812
127.05, 0.323779, 1.99279
127.55, 0.327503, 1.95819
128.05, 0.336917, 1.9254
128.55, 0.352102, 1.89543
129.05, 0.373194, 1.86927
129.55, 0.400315, 1.84786
130.05, 0.433455, 1.83217
130.55, 0.472324, 1.82312
131.05, 0.516141, 1.8216
131.55, 0.563419, 1.82839
132.05, 0.61176, 1.84403
132.55, 0.657789, 1.86867
133.05, 0.697317, 1.90188
133.55, 0.725862, 1.94244
134.05, 0.739501, 1.98825
134.55, 0.735868, 2.03635
135.05, 0.714914, 2.08321
135.55, 0.679052, 2.12522
136.05, 0.632577, 2.15921
136.55, 0.580582, 2.18296
137.05, 0.52786, 2.19538
137.55, 0.478162, 2.1965
138.05, 0.433943, 2.18724
138.55, 0.396489, 2.16904
139.05, 0.366232, 2.14364
139.55, 0.343085, 2.11281
140.05, 0.326722, 2.07825
140.55, 0.31676, 2.04149
141.05, 0.312884, 2.00394
141.55, 0.314898, 1.96684
142.05, 0.322749, 1.93133
142.55, 0.336517, 1.89845
143.05, 0.356383, 1.86922
143.55, 0.382562, 1.84462
144.05, 0.4152, 1.82566
144.55, 0.454226, 1.81333
145.05, 0.499137, 1.80862
145.55, 0.548743, 1.81244
146.05, 0.600906, 1.82556
146.55, 0.652356, 1.84837
147.05, 0.698728, 1.88076
147.55, 0.734981, 1.9218
148.05, 0.756252, 1.96959
148.55, 0.759032, 2.02123
149.05, 0.742247, 2.07296
149.55, 0.707751, 2.12072
150.05, 0.659905, 2.16074
150.55, 0.604404, 2.19015
151, 0.552601, 2.20624
151.5, 0.497251, 2.21228
152, 0.447295, 2.20659
152.5, 0.404488, 2.19062
153, 0.369475, 2.16623
153.5, 0.342199, 2.13536
154, 0.32226, 2.09989
154.5, 0.309164, 2.06153
155, 0.302472, 2.02181
155.5, 0.301884, 1.98208
156, 0.307271, 1.94354
156.5, 0.318674, 1.90729
157, 0.336279, 1.87437
157.5, 0.360374, 1.84581
158, 0.391253, 1.82263
158.5, 0.429091, 1.80588
159, 0.473736, 1.79663
159.5, 0.52445, 1.79593
160, 0.579585, 1.80474
160.5, 0.636285, 1.82381
161, 0.69034, 1.85339
161.5, 0.736382, 1.89305
162, 0.768603, 1.94135
162.5, 0.781988, 1.99567
163, 0.773763, 2.05228
163.5, 0.744426, 2.10672
164, 0.697794, 2.15453
164.5, 0.639939, 2.19197
165, 0.577529, 2.21663
165.5, 0.516343, 2.22767
166, 0.460463, 2.22559
166.5, 0.412187, 2.21184
167, 0.372397, 2.18841
167.5, 0.341063, 2.15745
168, 0.317696, 2.12104
168.5, 0.301668, 2.08106
169, 0.292399, 2.03919
169.5, 0.289468, 1.99688
170, 0.292652, 1.95542
170.5, 0.301934, 1.91596
171, 0.317487, 1.87956
171.5, 0.339639, 1.84728
172, 0.368795, 1.82015
172.5, 0.405329, 1.79926
173, 0.449397, 1.78573
173.5, 0.500677, 1.78072
174, 0.558016, 1.78536
174.5, 0.619048, 1.80065
175, 0.679874, 1.82723
175.5, 0.735034, 1.86511
176, 0.778006, 1.91335
176.5, 0.802393, 1.96971
177, 0.803625, 2.03061
177.5, 0.780551, 2.09136
