time, m, h, n, V
1.29,0.0520668,0.591356,0.319183,0.152711
1.3,0.0520634,0.591368,0.319176,0.153189
1.31,0.05206,0.591379,0.319169,0.153662
1.32,0.0520566,0.591391,0.319161,0.154129
1.33,0.0520533,0.591403,0.319154,0.154592
1.34,0.05205,0.591415,0.319147,0.155049
1.35,0.0520467,0.591427,0.31914,0.155501
1.36,0.0520434,0.591439,0.319133,0.155949
1.37,0.0520402,0.591451,0.319126,0.156391
1.38,0.052037,0.591462,0.319119,0.156828
1.39,0.0520338,0.591474,0.319112,0.15726
1.4,0.0520306,0.591486,0.319105,0.157688
1.41,0.0520275,0.591498,0.319098,0.15811
1.42,0.0520243,0.59151,0.319091,0.158528
1.43,0.0520212,0.591522,0.319084,0.15894
1.44,0.0520181,0.591534,0.319077,0.159348
1.45,0.0520151,0.591546,0.31907,0.159751
1.46,0.0520121,0.591558,0.319063,0.160149
1.47,0.052009,0.59157,0.319056,0.160542
1.48,0.0520061,0.591581,0.319049,0.16093
1.49,0.0520031,0.591593,0.319042,0.161314
1.5,0.0520002,0.591605,0.319035,0.161693
1.51,0.0519973,0.591617,0.319028,0.162067
1.52,0.0519944,0.591629,0.319021,0.162436
1.53,0.0519915,0.591641,0.319014,0.1628
1.54,0.0519887,0.591653,0.319007,0.16316
1.55,0.0519859,0.591665,0.319,0.163516
1.56,0.0519831,0.591677,0.318993,0.163866
1.57,0.0519804,0.591689,0.318986,0.164212
1.58,0.0519777,0.591701,0.318979,0.164553
1.59,0.051975,0.591712,0.318972,0.16489
1.6,0.0519723,0.591724,0.318965,0.165222
1.61,0.0519697,0.591736,0.318958,0.165549
1.62,0.0519671,0.591748,0.318951,0.165872
1.63,0.0519645,0.59176,0.318944,0.16619
1.64,0.0519619,0.591772,0.318937,0.166504
1.65,0.0519594,0.591784,0.31893,0.166813
1.66,0.0519569,0.591796,0.318923,0.167117
1.67,0.0519544,0.591808,0.318916,0.167418
1.68,0.051952,0.59182,0.318909,0.167713
1.69,0.0519495,0.591832,0.318902,0.168004
1.7,0.0519471,0.591844,0.318895,0.168291
1.71,0.0519448,0.591855,0.318888,0.168573
1.72,0.0519424,0.591867,0.318882,0.168851
1.73,0.0519401,0.591879,0.318875,0.169125
1.74,0.0519378,0.591891,0.318868,0.169394
1.75,0.0519356,0.591903,0.318861,0.169659
1.76,0.0519333,0.591915,0.318854,0.169919
1.77,0.0519311,0.591927,0.318847,0.170175
1.78,0.0519289,0.591939,0.31884,0.170427
1.79,0.0519268,0.591951,0.318833,0.170674
1.8,0.0519247,0.591962,0.318826,0.170917
1.81,0.0519226,0.591974,0.318819,0.171156
1.82,0.0519205,0.591986,0.318812,0.17139
1.83,0.0519185,0.591998,0.318806,0.17162
1.84,0.0519164,0.59201,0.318799,0.171846
1.85,0.0519144,0.592022,0.318792,0.172068
1.86,0.0519125,0.592034,0.318785,0.172286
1.87,0.0519105,0.592045,0.318778,0.172499
1.88,0.0519086,0.592057,0.318771,0.172708
1.89,0.0519068,0.592069,0.318765,0.172913
1.9,0.0519049,0.592081,0.318758,0.173114
1.91,0.0519031,0.592093,0.318751,0.173311
1.92,0.0519013,0.592105,0.318744,0.173504
1.93,0.0518995,0.592116,0.318737,0.173692
1.94,0.0518977,0.592128,0.31873,0.173876
1.95,0.051896,0.59214,0.318724,0.174057
1.96,0.0518943,0.592152,0.318717,0.174233
1.97,0.0518926,0.592164,0.31871,0.174405
1.98,0.051891,0.592175,0.318703,0.174573
1.99,0.0518894,0.592187,0.318697,0.174738
2,0.0518878,0.592199,0.31869,0.174898
2.01,0.0518862,0.592211,0.318683,0.175054
2.02,0.0518847,0.592222,0.318676,0.175206
2.03,0.0518832,0.592234,0.31867,0.175354
2.04,0.0518817,0.592246,0.318663,0.175499
2.05,0.0518802,0.592258,0.318656,0.175639
2.06,0.0518788,0.592269,0.318649,0.175776
2.07,0.0518774,0.592281,0.318643,0.175908
2.08,0.051876,0.592293,0.318636,0.176037
2.09,0.0518746,0.592304,0.318629,0.176162
2.1,0.0518733,0.592316,0.318623,0.176282
2.11,0.051872,0.592328,0.318616,0.1764
2.12,0.0518707,0.592339,0.318609,0.176513
2.13,0.0518694,0.592351,0.318603,0.176622
2.14,0.0518682,0.592363,0.318596,0.176728
2.15,0.051867,0.592374,0.318589,0.17683
2.16,0.0518658,0.592386,0.318583,0.176928
2.17,0.0518646,0.592398,0.318576,0.177022
2.18,0.0518635,0.592409,0.31857,0.177113
2.19,0.0518624,0.592421,0.318563,0.1772
2.2,0.0518613,0.592432,0.318556,0.177283
2.21,0.0518602,0.592444,0.31855,0.177363
2.22,0.0518592,0.592455,0.318543,0.177438
2.23,0.0518582,0.592467,0.318537,0.17751
2.24,0.0518572,0.592479,0.31853,0.177579
2.25,0.0518562,0.59249,0.318524,0.177644
2.26,0.0518553,0.592502,0.318517,0.177705
2.27,0.0518544,0.592513,0.318511,0.177763
2.28,0.0518535,0.592525,0.318504,0.177817
2.29,0.0518526,0.592536,0.318498,0.177867
2.3,0.0518518,0.592548,0.318491,0.177914
2.31,0.051851,0.592559,0.318485,0.177958
