time, prey, predator
86.5, 0.0464768, 0.266482
87, 0.0442003, 0.261513
87.5, 0.0425098, 0.256392
88, 0.0414482, 0.251199
88.5, 0.0410663, 0.246022
89, 0.0414312, 0.240949
89.5, 0.0426354, 0.236071
90, 0.0448068, 0.23148
90.5, 0.0481189, 0.227272
91, 0.0527966, 0.223542
91.5, 0.0591135, 0.220386
92, 0.0673643, 0.217895
92.5, 0.0777976, 0.216145
93, 0.0904888, 0.215192
93.5, 0.105172, 0.215053
94, 0.121109, 0.215702
94.5, 0.137129, 0.217068
95, 0.151913, 0.219051
95.5, 0.164392, 0.221533
96, 0.17402, 0.224403
96.5, 0.18078, 0.227559
97, 0.185007, 0.230921
97.5, 0.18718, 0.234425
98, 0.187774, 0.238022
98.5, 0.18719, 0.241673
99, 0.185737, 0.24535
99.5, 0.183642, 0.249028
100, 0.181066, 0.252687
100.5, 0.178122, 0.256311
101, 0.174888, 0.259883
101.5, 0.171415, 0.263387
102, 0.167742, 0.26681
102.5, 0.163893, 0.270135
103, 0.159886, 0.273347
103.5, 0.155732, 0.276431
104, 0.15144, 0.279369
104.5, 0.147017, 0.282143
105, 0.142468, 0.284736
105.5, 0.137796, 0.287128
106, 0.133008, 0.289297
106.5, 0.128107, 0.291223
107, 0.123101, 0.292883
107.5, 0.117998, 0.294254
108, 0.112807, 0.295311
108.5, 0.107543, 0.29603
109, 0.102222, 0.296386
109.5, 0.0968659, 0.296355
110, 0.0915013, 0.295915
110.5, 0.0861606, 0.295044
111, 0.0808823, 0.293725
111.5, 0.0757113, 0.291946
112, 0.0706984, 0.289698
112.5, 0.0658992, 0.286984
113, 0.0613724, 0.283813
113.5, 0.0571774, 0.280208
114, 0.0533723, 0.2762
114.5, 0.0500112, 0.271835
115, 0.0471432, 0.267168
115.5, 0.0448124, 0.262266
116, 0.0430606, 0.257203
116.5, 0.0419307, 0.252058
117, 0.0414728, 0.246919
117.5, 0.0417524, 0.241871
118, 0.0428585, 0.237007
118.5, 0.0449142, 0.232417
119, 0.0480857, 0.228196
119.5, 0.0525895, 0.22444
120, 0.0586896, 0.221243
120.5, 0.0666744, 0.218696
121, 0.076794, 0.216879
121.5, 0.0891437, 0.215847
122, 0.103501, 0.215624
122.5, 0.119192, 0.216188
123, 0.135105, 0.217475
123.5, 0.149943, 0.219386
124, 0.16261, 0.221809
124.5, 0.172503, 0.224631
125, 0.179544, 0.227749
125.5, 0.184028, 0.231082
126, 0.186417, 0.234564
126.5, 0.187181, 0.238143
127, 0.186726, 0.24178
127.5, 0.18537, 0.245446
128, 0.183346, 0.249116
128.5, 0.180823, 0.252768
129, 0.177918, 0.256385
129.5, 0.174712, 0.259952
130, 0.171261, 0.263451
130.5, 0.167603, 0.266869
131, 0.163767, 0.27019
131.5, 0.159768, 0.273398
132, 0.155621, 0.276478
132.5, 0.151335, 0.279411
133, 0.146916, 0.282182
133.5, 0.14237, 0.28477
134, 0.137701, 0.287157
134.5, 0.132915, 0.289322
135, 0.128016, 0.291243
135.5, 0.123012, 0.292898
136, 0.11791, 0.294264
136.5, 0.112721, 0.295315
137, 0.107458, 0.296028
137.5, 0.102139, 0.296378
138, 0.0967851, 0.296342
138.5, 0.091423, 0.295895
139, 0.0860853, 0.295018
139.5, 0.0808107, 0.293693
140, 0.075644, 0.291907
140.5, 0.0706362, 0.289654
141, 0.0658428, 0.286934
141.5, 0.0613225, 0.283758
142, 0.0571348, 0.280148
142.5, 0.0533377, 0.276137
143, 0.0499851, 0.271769
143.5, 0.047126, 0.267101
144, 0.0448048, 0.262198
144.5, 0.043063, 0.257136
145, 0.0419436, 0.251994
145.5, 0.0414972, 0.246858
146, 0.0417894, 0.241815
146.5, 0.0429097, 0.236957
147, 0.0449818, 0.232375
147.5, 0.0481725, 0.228163
148, 0.0526991, 0.224417
148.5, 0.0588258, 0.221231
149, 0.0668405, 0.218697
149.5, 0.0769917, 0.216893
150, 0.0893701, 0.215876
150.5, 0.103747, 0.215666
151, 0.119441, 0.216242
151.5, 0.135336, 0.217539
152, 0.150137, 0.219459
152.5, 0.162757, 0.221889
153, 0.172599, 0.224715
153.5, 0.179594, 0.227837
154, 0.184041, 0.231172
154.5, 0.186401, 0.234655
155, 0.187143, 0.238234
155.5, 0.186673, 0.241872
156, 0.185305, 0.245538
156.5, 0.183273, 0.249206
157, 0.180744, 0.252858
157.5, 0.177833, 0.256474
158, 0.174623, 0.260038
158.5, 0.171168, 0.263536
159, 0.167507, 0.266951
159.51, 0.163589, 0.270335
160.01, 0.159584, 0.273537
160.51, 0.155432, 0.27661
161.01, 0.15114, 0.279537
161.51, 0.146716, 0.2823
162.01, 0.142165, 0.28488
162.51, 0.137491, 0.287257
163.01, 0.1327, 0.289412
163.51, 0.127796, 0.291322
164.01, 0.122788, 0.292964
164.51, 0.117682, 0.294316
165.01, 0.112489, 0.295353
165.51, 0.107224, 0.296051
166.01, 0.101903, 0.296384
166.51, 0.0965482, 0.29633
167.01, 0.0911867, 0.295865
167.51, 0.0858511, 0.294968
168.01, 0.0805803, 0.293623
168.51, 0.0754197, 0.291817
169.01, 0.0704203, 0.289543
169.51, 0.0656378, 0.286803
170.01, 0.0611311, 0.283607
170.51, 0.0569596, 0.279979
171.01, 0.0531811, 0.275951
171.51, 0.0498494, 0.271569
172.01, 0.0470133, 0.266889
172.51, 0.0447169, 0.261978
173.01, 0.0430017, 0.25691
173.51, 0.041911, 0.251767
174.01, 0.0414957, 0.246634
174.51, 0.0418224, 0.241598
175.01, 0.0429819, 0.23675
175.51, 0.0450996, 0.232182
176.01, 0.0483444, 0.227989
176.51, 0.0529358, 0.224266
177.01, 0.0591399, 0.221107
177.51, 0.0672444, 0.218604
178.01, 0.0774935, 0.216834
178.51, 0.0899678, 0.215852
179.01, 0.104421, 0.215678
179.51, 0.120149, 0.216287
180.01, 0.136022, 0.217614
180.51, 0.150746, 0.219559
181.01, 0.163251, 0.222009
181.51, 0.172965, 0.22485
182.01, 0.179839, 0.227983
182.51, 0.184184, 0.231326
183.01, 0.186462, 0.234814
183.51, 0.187143, 0.238397
184.01, 0.186627, 0.242036
184.51, 0.185225, 0.245702
185.01, 0.183168, 0.24937
185.51, 0.18062, 0.25302
186.01, 0.177695, 0.256635
186.51, 0.174472, 0.260196
187.01, 0.171008, 0.263691
187.51, 0.167339, 0.267102
188.01, 0.163491, 0.270415
188.51, 0.159483, 0.273615
189.01, 0.155327, 0.276685
