time, prey, predator
84.55, 3.90377e-32, 0.006229
85.05, 1.00974e-31, 0.00592446
85.55, 2.61211e-31, 0.00563482
86.05, 6.7582e-31, 0.00535933
86.55, 1.74873e-30, 0.00509732
87.05, 4.5255e-30, 0.00484811
87.55, 1.17127e-29, 0.00461109
88.05, 3.03175e-29, 0.00438565
88.55, 7.84827e-29, 0.00417124
89.05, 2.03187e-28, 0.0039673
89.55, 5.26086e-28, 0.00377334
90.05, 1.36224e-27, 0.00358887
90.55, 3.52768e-27, 0.00341341
91.05, 9.13602e-27, 0.00324653
91.55, 2.36623e-26, 0.0030878
92.05, 6.12898e-26, 0.00293684
92.55, 1.58763e-25, 0.00279326
93.05, 4.11278e-25, 0.0026567
93.55, 1.06549e-24, 0.00252681
94.05, 2.76051e-24, 0.00240328
94.55, 7.1524e-24, 0.00228578
95.05, 1.85326e-23, 0.00217403
95.55, 4.80225e-23, 0.00206774
96.05, 1.24443e-22, 0.00196665
96.55, 3.22492e-22, 0.0018705
97.05, 8.35767e-22, 0.00177905
97.55, 2.16605e-21, 0.00169207
98.05, 5.61395e-21, 0.00160935
98.55, 1.45507e-20, 0.00153067
99.05, 3.77152e-20, 0.00145583
99.55, 9.77602e-20, 0.00138466
100.05, 2.53409e-19, 0.00131696
100.55, 6.56893e-19, 0.00125258
101.05, 1.70286e-18, 0.00119134
101.55, 4.41445e-18, 0.00113309
102.05, 1.14442e-17, 0.0010777
102.55, 2.9669e-17, 0.00102501
103.05, 7.69188e-17, 0.000974896
103.55, 1.99421e-16, 0.000927233
104.05, 5.17034e-16, 0.000881901
104.55, 1.34053e-15, 0.000838785
105.05, 3.47569e-15, 0.000797777
105.55, 9.01184e-15, 0.000758774
106.05, 2.33665e-14, 0.000721677
106.55, 6.05873e-14, 0.000686395
107.05, 1.571e-13, 0.000652837
107.55, 4.07358e-13, 0.00062092
108.05, 1.05629e-12, 0.000590563
108.55, 2.73903e-12, 0.00056169
109.05, 7.10256e-12, 0.00053423
109.55, 1.84178e-11, 0.000508111
110.05, 4.77603e-11, 0.00048327
110.55, 1.23851e-10, 0.000459643
111.05, 3.21173e-10, 0.000437171
111.55, 8.32878e-10, 0.000415798
112.05, 2.15987e-09, 0.000395469
112.55, 5.60117e-09, 0.000376135
113.05, 1.45256e-08, 0.000357746
113.55, 3.76696e-08, 0.000340255
114.05, 9.76904e-08, 0.00032362
114.55, 2.53347e-07, 0.000307799
115.05, 6.57028e-07, 0.00029275
115.55, 1.70394e-06, 0.000278438
116.05, 4.41903e-06, 0.000264825
116.55, 1.14605e-05, 0.000251878
117.05, 2.97222e-05, 0.000239564
117.55, 7.70835e-05, 0.000227853
118.05, 0.000199915, 0.000216716
118.55, 0.000518477, 0.000206127
119.05, 0.00134467, 0.000196066
119.55, 0.00348743, 0.000186521
120.05, 0.00904475, 0.000177501
120.55, 0.0234579, 0.000169068
121.05, 0.0608392, 0.000161407
121.55, 0.15779, 0.000155018
122.05, 0.409237, 0.000151208
122.55, 1.06138, 0.000153523
123.05, 2.75276, 0.00017281
123.55, 7.13929, 0.000252869
124.05, 18.5142, 0.000707367
124.55, 47.9697, 0.0088543
125.05, 112.133, 2.21227
125.55, 0.0915414, 31.1601
126.05, 1.70861e-05, 29.6554
126.55, 4.60966e-10, 28.2055
127.05, 1.28265e-15, 26.8265
127.55, 2.21185e-22, 25.515
128.05, 9.95076e-31, 24.2676
128.55, 1.89336e-41, 23.0811
129.05, 4.77412e-58, 21.9527
129.55, 5.11731e-75, 20.8794
130.05, 4.16244e-86, 19.8586
130.55, 5.05022e-95, 18.8878
131.05, 1.44658e-102, 17.9643
131.55, 4.08713e-109, 17.0861
132.05, 6.82152e-115, 16.2507
132.55, 4.79734e-120, 15.4562
133.05, 1.1189e-124, 14.7006
133.55, 7.2402e-129, 13.9819
134.05, 1.13224e-132, 13.2983
134.55, 3.83402e-136, 12.6481
135.05, 2.57088e-139, 12.0298
135.55, 3.16991e-142, 11.4416
136.05, 6.75276e-145, 10.8823
136.55, 2.35679e-147, 10.3502
137.05, 1.28736e-149, 9.84421
137.55, 1.05768e-151, 9.36293
138.05, 1.26227e-153, 8.90518
138.55, 2.12196e-155, 8.4698
139.05, 4.88946e-157, 8.05572
139.55, 1.50707e-158, 7.66187
140.05, 6.07941e-160, 7.28729
140.55, 3.14692e-161, 6.93101
141.05, 2.05335e-162, 6.59215
141.55, 1.66175e-163, 6.26987
142.05, 1.64357e-164, 5.96333
142.55, 1.9601e-165, 5.67179
143.05, 2.78407e-166, 5.39449
143.55, 4.6566e-167, 5.13076
144.05, 9.07643e-168, 4.87991
144.55, 2.04192e-168, 4.64134
145.05, 5.25504e-169, 4.41442
145.55, 1.53445e-169, 4.1986
146.05, 5.04492e-170, 3.99333
146.55, 1.85438e-170, 3.7981
147.05, 7.57045e-171, 3.61241
147.55, 3.41158e-171, 3.4358
148.05, 1.68738e-171, 3.26782
148.55, 9.1111e-172, 3.10806
149.05, 5.34391e-172, 2.95611
149.55, 3.38882e-172, 2.81158
150.05, 2.31332e-172, 2.67413
150.55, 1.69294e-172, 2.54339
151, 1.35225e-172, 2.4312
151.5, 1.11778e-172, 2.31234
152, 9.80173e-173, 2.19929
152.5, 9.08872e-173, 2.09176
153, 8.88475e-173, 1.9895
153.5, 9.13055e-173, 1.89223
154, 9.83776e-173, 1.79972
154.5, 1.10853e-172, 1.71173
155, 1.30324e-172, 1.62805
155.5, 1.59495e-172, 1.54845
156, 2.02768e-172, 1.47275
156.5, 2.6725e-172, 1.40075
157, 3.64488e-172, 1.33226
157.5, 5.13478e-172, 1.26713
158, 7.4594e-172, 1.20518
158.5, 1.11568e-171, 1.14626
159, 1.71544e-171, 1.09022
159.5, 2.70765e-171, 1.03692
160, 4.38138e-171, 0.986223
160.5, 7.25895e-171, 0.938006
161, 1.22987e-170, 0.892147
161.5, 2.1285e-170, 0.84853
162, 3.75876e-170, 0.807046
162.5, 6.76596e-170, 0.767589
163, 1.24024e-169, 0.730062
163.5, 2.31301e-169, 0.69437
164, 4.38492e-169, 0.660422
164.5, 8.44312e-169, 0.628134
165, 1.64991e-168, 0.597425
165.5, 3.26972e-168, 0.568217
166, 6.56673e-168, 0.540437
166.5, 1.33563e-167, 0.514015
167, 2.74944e-167, 0.488885
167.5, 5.72485e-167, 0.464983
168, 1.20503e-166, 0.44225
168.5, 2.56277e-166, 0.420629
169, 5.50398e-166, 0.400064
169.5, 1.19313e-165, 0.380505
170, 2.60939e-165, 0.361902
170.5, 5.75496e-165, 0.344209
171, 1.27943e-164, 0.32738
171.5, 2.86606e-164, 0.311375
172, 6.4668e-164, 0.296152
172.5, 1.46917e-163, 0.281673
173, 3.35959e-163, 0.267902
173.5, 7.73022e-163, 0.254804
174, 1.78918e-162, 0.242347
174.5, 4.16437e-162, 0.230499
175, 9.74439e-162, 0.21923
175.5, 2.2917e-161, 0.208512
176, 5.41563e-161, 0.198317
176.5, 1.28566e-160, 0.188622
177, 3.06543e-160, 0.1794
177.5, 7.33923e-160, 0.170629
178, 1.76407e-159, 0.162287
178.5, 4.25603e-159, 0.154353
179, 1.03047e-158, 0.146807
179.5, 2.50341e-158, 0.139629
180, 6.1013e-158, 0.132803
180.5, 1.49156e-157, 0.12631
181, 3.65693e-157, 0.120135
181.5, 8.99068e-157, 0.114261
182, 2.2162e-156, 0.108675
182.5, 5.47655e-156, 0.103362
183, 1.35655e-155, 0.0983087
183.5, 3.3678e-155, 0.0935024
184, 8.3789e-155, 0.0889311
184.5, 2.08888e-154, 0.0845833
185, 5.21776e-154, 0.080448
185.5, 1.30573e-153, 0.0765149
186, 3.27331e-153, 0.0727741
186.5, 8.21947e-153, 0.0692162
187, 2.06723e-152, 0.0658322
187.5, 5.20704e-152, 0.0626137
188, 1.31345e-151, 0.0595525
188.5, 3.31766e-151, 0.056641
189, 8.39096e-151, 0.0538718
189.5, 2.12485e-150, 0.0512381
190, 5.38707e-150, 0.048733
190.5, 1.3673e-149, 0.0463505
191, 3.47403e-149, 0.0440844
191.5, 8.83574e-149, 0.0419291
192, 2.24941e-148, 0.0398792
192.5, 5.7318e-148, 0.0379295
193, 1.46181e-147, 0.0360752
193.5, 3.7312e-147, 0.0343115
194, 9.53119e-147, 0.032634
194.5, 2.43652e-146, 0.0310385
195, 6.23307e-146, 0.029521
195.5, 1.59561e-145, 0.0280778
196, 4.08724e-145, 0.026705
196.5, 1.04761e-144, 0.0253994
197, 2.68671e-144, 0.0241577
197.5, 6.89418e-144, 0.0229766
198, 1.76999e-143, 0.0218533
198.5, 4.54652e-143, 0.0207849
199, 1.1684e-142, 0.0197687
199.5, 3.00401e-142, 0.0188022
200, 7.72675e-142, 0.017883
