x,y,angle,step,command
0,0,0,0,B
1,0,0,0,B
1,0,0,1,L
1,0,0.698222,1,L
1,0,0.698222,2,B
1.61279,0.514286,0.698222,2,B
1.61279,0.514286,0.698222,3,L
1.61279,0.514286,1.39644,3,L
1.61279,0.514286,1.39644,4,B
1.72381,1.14458,1.39644,4,B
1.72381,1.14458,1.39644,5,L
1.72381,1.14458,2.09467,5,L
1.72381,1.14458,2.09467,6,B
1.46769,1.58792,2.09467,6,B
1.46769,1.58792,2.09467,7,L
1.46769,1.58792,2.79289,7,L
1.46769,1.58792,2.79289,8,B
1.08274,1.72787,2.79289,8,B
1.08274,1.72787,2.79289,9,L
1.08274,1.72787,3.49111,9,L
1.08274,1.72787,3.49111,10,B
0.774873,1.61566,3.49111,10,B
0.774873,1.61566,3.49111,11,L
0.774873,1.61566,4.18933,11,L
0.774873,1.61566,4.18933,12,B
0.643924,1.38856,4.18933,12,B
0.643924,1.38856,4.18933,13,L
0.643924,1.38856,4.88756,13,L
0.643924,1.38856,4.88756,14,A
0.680472,1.18206,4.88756,14,A
0.680472,1.18206,4.88756,15,R
0.643924,1.38856,3.49111,15,R
0.643924,1.38856,3.49111,16,A
0.446889,1.31675,3.49111,16,A
0.446889,1.31675,3.49111,17,R
0.774873,1.61566,2.79289,17,R
0.774873,1.61566,2.79289,18,B
0.528506,1.70523,2.79289,18,B
0.528506,1.70523,2.79289,19,L
0.528506,1.70523,3.49111,19,L
0.528506,1.70523,3.49111,20,A
0.33147,1.63341,3.49111,20,A
0.33147,1.63341,3.49111,21,R
0.528506,1.70523,2.09467,21,R
0.528506,1.70523,2.09467,22,A
0.423599,1.88682,2.09467,22,A
0.423599,1.88682,2.09467,23,R
1.08274,1.72787,2.09467,23,R
1.08274,1.72787,2.09467,24,B
0.918823,2.0116,2.09467,24,B
0.918823,2.0116,2.09467,25,L
0.918823,2.0116,2.79289,25,L
0.918823,2.0116,2.79289,26,B
0.672456,2.10117,2.79289,26,B
0.672456,2.10117,2.79289,27,L
0.672456,2.10117,3.49111,27,L
0.672456,2.10117,3.49111,28,A
0.475421,2.02936,3.49111,28,A
0.475421,2.02936,3.49111,29,R
0.672456,2.10117,2.09467,29,R
0.672456,2.10117,2.09467,30,A
0.567549,2.28276,2.09467,30,A
0.567549,2.28276,2.09467,31,R
0.918823,2.0116,1.39644,31,R
0.918823,2.0116,1.39644,32,B
0.964298,2.26977,1.39644,32,B
0.964298,2.26977,1.39644,33,L
0.964298,2.26977,2.09467,33,L
0.964298,2.26977,2.09467,34,A
0.859391,2.45136,2.09467,34,A
0.859391,2.45136,2.09467,35,R
0.964298,2.26977,0.698222,35,R
0.964298,2.26977,0.698222,36,A
1.12494,2.40459,0.698222,36,A
1.12494,2.40459,0.698222,37,R
1.46769,1.58792,1.39644,37,R
1.46769,1.58792,1.39644,38,B
1.53874,1.99131,1.39644,38,B
1.53874,1.99131,1.39644,39,L
1.53874,1.99131,2.09467,39,L
1.53874,1.99131,2.09467,40,B
1.37483,2.27504,2.09467,40,B
1.37483,2.27504,2.09467,41,L
1.37483,2.27504,2.79289,41,L
1.37483,2.27504,2.79289,42,B
1.12846,2.36461,2.79289,42,B
1.12846,2.36461,2.79289,43,L
1.12846,2.36461,3.49111,43,L
1.12846,2.36461,3.49111,44,A
0.931423,2.2928,3.49111,44,A
0.931423,2.2928,3.49111,45,R
1.12846,2.36461,2.09467,45,R
1.12846,2.36461,2.09467,46,A
1.02355,2.5462,2.09467,46,A
1.02355,2.5462,2.09467,47,R
1.37483,2.27504,1.39644,47,R
1.37483,2.27504,1.39644,48,B
1.4203,2.53321,1.39644,48,B
1.4203,2.53321,1.39644,49,L
1.4203,2.53321,2.09467,49,L
1.4203,2.53321,2.09467,50,A
1.31539,2.7148,2.09467,50,A
1.31539,2.7148,2.09467,51,R
1.4203,2.53321,0.698222,51,R
1.4203,2.53321,0.698222,52,A
1.58094,2.66803,0.698222,52,A
1.58094,2.66803,0.698222,53,R
1.53874,1.99131,0.698222,53,R
1.53874,1.99131,0.698222,54,B
1.78974,2.20196,0.698222,54,B
1.78974,2.20196,0.698222,55,L
1.78974,2.20196,1.39644,55,L
1.78974,2.20196,1.39644,56,B
1.83522,2.46013,1.39644,56,B
1.83522,2.46013,1.39644,57,L
