time, m, h, n, V
1.13,0.0521362,0.591163,0.319298,0.140707
1.14,0.052133,0.591175,0.319291,0.141177
1.15,0.0521298,0.591186,0.319284,0.141639
1.16,0.0521266,0.591198,0.319277,0.142094
1.17,0.0521234,0.591209,0.31927,0.142542
1.18,0.0521203,0.591221,0.319263,0.142983
1.19,0.0521172,0.591233,0.319256,0.143417
1.2,0.0521141,0.591244,0.319249,0.143844
1.21,0.052111,0.591256,0.319242,0.144264
1.22,0.0521079,0.591267,0.319235,0.144677
1.23,0.0521049,0.591279,0.319229,0.145083
1.24,0.0521019,0.591291,0.319222,0.145482
1.25,0.0520989,0.591302,0.319215,0.145874
1.26,0.0520959,0.591314,0.319208,0.146259
1.27,0.052093,0.591326,0.319201,0.146637
1.28,0.05209,0.591337,0.319194,0.147008
1.29,0.0520872,0.591349,0.319187,0.147373
1.3,0.0520843,0.59136,0.31918,0.14773
1.31,0.0520815,0.591372,0.319173,0.148081
1.32,0.0520787,0.591384,0.319167,0.148424
1.33,0.0520759,0.591395,0.31916,0.148761
1.34,0.0520731,0.591407,0.319153,0.149092
1.35,0.0520704,0.591419,0.319146,0.149415
1.36,0.0520677,0.59143,0.319139,0.149731
1.37,0.0520651,0.591442,0.319132,0.150041
1.38,0.0520625,0.591454,0.319125,0.150344
1.39,0.0520599,0.591465,0.319118,0.15064
1.4,0.0520573,0.591477,0.319112,0.15093
1.41,0.0520548,0.591488,0.319105,0.151212
1.42,0.0520523,0.5915,0.319098,0.151488
1.43,0.0520499,0.591512,0.319091,0.151757
1.44,0.0520474,0.591523,0.319084,0.15202
1.45,0.052045,0.591535,0.319077,0.152275
1.46,0.0520427,0.591547,0.319071,0.152524
1.47,0.0520404,0.591558,0.319064,0.152767
1.48,0.0520381,0.59157,0.319057,0.153002
1.49,0.0520358,0.591581,0.31905,0.153231
1.5,0.0520336,0.591593,0.319043,0.153453
1.51,0.0520315,0.591605,0.319037,0.153669
1.52,0.0520293,0.591616,0.31903,0.153878
1.53,0.0520272,0.591628,0.319023,0.15408
1.54,0.0520252,0.591639,0.319016,0.154276
1.55,0.0520231,0.591651,0.319009,0.154465
1.56,0.0520211,0.591662,0.319003,0.154647
1.57,0.0520192,0.591674,0.318996,0.154823
1.58,0.0520173,0.591685,0.318989,0.154992
1.59,0.0520154,0.591697,0.318982,0.155155
1.6,0.0520135,0.591709,0.318976,0.155311
1.61,0.0520117,0.59172,0.318969,0.15546
1.62,0.05201,0.591732,0.318962,0.155603
1.63,0.0520082,0.591743,0.318956,0.155739
1.64,0.0520065,0.591755,0.318949,0.155869
1.65,0.0520049,0.591766,0.318942,0.155992
1.66,0.0520033,0.591778,0.318935,0.156108
1.67,0.0520017,0.591789,0.318929,0.156218
1.68,0.0520002,0.591801,0.318922,0.156322
1.69,0.0519987,0.591812,0.318915,0.156419
1.7,0.0519972,0.591824,0.318909,0.156509
1.71,0.0519958,0.591835,0.318902,0.156593
1.72,0.0519944,0.591846,0.318896,0.15667
1.73,0.0519931,0.591858,0.318889,0.156741
1.74,0.0519917,0.591869,0.318882,0.156806
1.75,0.0519905,0.591881,0.318876,0.156863
1.76,0.0519892,0.591892,0.318869,0.156915
1.77,0.0519881,0.591903,0.318863,0.15696
1.78,0.0519869,0.591915,0.318856,0.156998
1.79,0.0519858,0.591926,0.318849,0.15703
1.8,0.0519847,0.591938,0.318843,0.157056
1.81,0.0519837,0.591949,0.318836,0.157075
1.82,0.0519827,0.59196,0.31883,0.157087
1.83,0.0519817,0.591971,0.318823,0.157094
1.84,0.0519808,0.591983,0.318817,0.157093
1.85,0.0519799,0.591994,0.31881,0.157087
1.86,0.0519791,0.592005,0.318804,0.157074
1.87,0.0519783,0.592017,0.318797,0.157054
1.88,0.0519775,0.592028,0.318791,0.157029
1.89,0.0519768,0.592039,0.318785,0.156996
1.9,0.0519761,0.59205,0.318778,0.156958
1.91,0.0519755,0.592061,0.318772,0.156913
1.92,0.0519749,0.592073,0.318765,0.156862
1.93,0.0519743,0.592084,0.318759,0.156804
1.94,0.0519738,0.592095,0.318753,0.15674
1.95,0.0519733,0.592106,0.318746,0.156669
1.96,0.0519729,0.592117,0.31874,0.156593
1.97,0.0519725,0.592128,0.318734,0.15651
1.98,0.0519721,0.592139,0.318727,0.15642
1.99,0.0519718,0.59215,0.318721,0.156325
2,0.0519715,0.592162,0.318715,0.156223
2.01,0.0519712,0.592173,0.318708,0.156115
2.02,0.051971,0.592184,0.318702,0.156
2.03,0.0519708,0.592195,0.318696,0.155879
2.04,0.0519707,0.592206,0.31869,0.155752
2.05,0.0519706,0.592217,0.318683,0.155619
2.06,0.0519705,0.592228,0.318677,0.155479
2.07,0.0519705,0.592238,0.318671,0.155333
2.08,0.0519705,0.592249,0.318665,0.155181
2.09,0.0519706,0.59226,0.318659,0.155023
2.1,0.0519707,0.592271,0.318653,0.154858
2.11,0.0519708,0.592282,0.318646,0.154688
2.12,0.051971,0.592293,0.31864,0.154511
2.13,0.0519712,0.592304,0.318634,0.154328
2.14,0.0519715,0.592314,0.318628,0.154138
2.15,0.0519718,0.592325,0.318622,0.153943
2.16,0.0519721,0.592336,0.318616,0.153741
2.17,0.0519725,0.592347,0.31861,0.153533
2.18,0.0519729,0.592357,0.318604,0.153319
2.19,0.0519733,0.592368,0.318598,0.153099
2.2,0.0519738,0.592379,0.318592,0.152873
2.21,0.0519743,0.592389,0.318586,0.15264
2.22,0.0519749,0.5924,0.31858,0.152402
2.23,0.0519755,0.592411,0.318574,0.152157
2.24,0.0519761,0.592421,0.318568,0.151906
2.25,0.0519768,0.592432,0.318563,0.15165
2.26,0.0519775,0.592442,0.318557,0.151387
2.27,0.0519783,0.592453,0.318551,0.151118
2.28,0.0519791,0.592463,0.318545,0.150843
2.29,0.0519799,0.592474,0.318539,0.150562
2.3,0.0519808,0.592484,0.318533,0.150274
2.31,0.0519817,0.592495,0.318528,0.149981
2.32,0.0519826,0.592505,0.318522,0.149682
2.33,0.0519836,0.592515,0.318516,0.149377
2.34,0.0519846,0.592526,0.31851,0.149065
2.35,0.0519857,0.592536,0.318505,0.148748
2.36,0.0519868,0.592546,0.318499,0.148425
2.37,0.0519879,0.592557,0.318493,0.148096
2.38,0.0519891,0.592567,0.318488,0.14776
2.39,0.0519903,0.592577,0.318482,0.147419
2.4,0.0519915,0.592587,0.318477,0.147072
2.41,0.0519928,0.592597,0.318471,0.146719
2.42,0.0519941,0.592608,0.318465,0.14636
2.43,0.0519955,0.592618,0.31846,0.145995
2.44,0.0519969,0.592628,0.318454,0.145624
2.45,0.0519983,0.592638,0.318449,0.145247
2.46,0.0519998,0.592648,0.318443,0.144864
2.47,0.0520013,0.592658,0.318438,0.144476
2.48,0.0520029,0.592668,0.318432,0.144081
2.49,0.0520044,0.592678,0.318427,0.143681
2.5,0.0520061,0.592688,0.318422,0.143275
2.51,0.0520077,0.592698,0.318416,0.142863
2.52,0.0520094,0.592707,0.318411,0.142445
2.53,0.0520112,0.592717,0.318406,0.142021
2.54,0.0520129,0.592727,0.3184,0.141592
2.55,0.0520147,0.592737,0.318395,0.141156
2.56,0.0520166,0.592747,0.31839,0.140715
2.57,0.0520185,0.592756,0.318384,0.140268
2.58,0.0520204,0.592766,0.318379,0.139815
2.59,0.0520223,0.592776,0.318374,0.139357
2.6,0.0520243,0.592785,0.318369,0.138893
2.61,0.0520263,0.592795,0.318364,0.138423
2.62,0.0520284,0.592804,0.318359,0.137947
2.63,0.0520305,0.592814,0.318353,0.137465
2.64,0.0520326,0.592824,0.318348,0.136978
2.65,0.0520348,0.592833,0.318343,0.136485
2.66,0.052037,0.592842,0.318338,0.135987
2.67,0.0520393,0.592852,0.318333,0.135482
2.68,0.0520416,0.592861,0.318328,0.134972
2.69,0.0520439,0.592871,0.318323,0.134456
2.7,0.0520462,0.59288,0.318318,0.133935
2.71,0.0520486,0.592889,0.318313,0.133408
2.72,0.0520511,0.592898,0.318308,0.132875
2.73,0.0520535,0.592908,0.318304,0.132337
2.74,0.052056,0.592917,0.318299,0.131793
