x,y,angle,step,command
0.906395,0.257143,0,85,L
0.906395,0.257143,0.698222,85,L
0.906395,0.257143,0.698222,86,B
1.05959,0.385714,0.698222,86,B
1.05959,0.385714,0.698222,87,L
1.05959,0.385714,1.39644,87,L
1.05959,0.385714,1.39644,88,A
1.09429,0.582682,1.39644,88,A
1.09429,0.582682,1.39644,89,R
1.05959,0.385714,0,89,R
1.05959,0.385714,0,90,A
1.25959,0.385714,0,90,A
1.25959,0.385714,0,91,R
0.906395,0.257143,-0.698222,91,R
0.906395,0.257143,-0.698222,92,B
1.05959,0.128571,-0.698222,92,B
1.05959,0.128571,-0.698222,93,L
1.05959,0.128571,0,93,L
1.05959,0.128571,0,94,A
1.25959,0.128571,0,94,A
1.25959,0.128571,0,95,R
1.05959,0.128571,-1.39644,95,R
1.05959,0.128571,-1.39644,96,A
1.09429,-0.0683964,-1.39644,96,A
1.09429,-0.0683964,-1.39644,97,R
0.553197,0.128571,-0.698222,97,R
0.553197,0.128571,-0.698222,98,B
0.706395,0,-0.698222,98,B
0.706395,0,-0.698222,99,L
0.706395,0,0,99,L
0.706395,0,0,100,B
0.906395,0,0,100,B
0.906395,0,0,101,L
0.906395,0,0.698222,101,L
0.906395,0,0.698222,102,B
1.05959,0.128571,0.698222,102,B
1.05959,0.128571,0.698222,103,L
1.05959,0.128571,1.39644,103,L
1.05959,0.128571,1.39644,104,A
1.09429,0.325539,1.39644,104,A
1.09429,0.325539,1.39644,105,R
1.05959,0.128571,0,105,R
1.05959,0.128571,0,106,A
1.25959,0.128571,0,106,A
1.25959,0.128571,0,107,R
0.906395,0,-0.698222,107,R
0.906395,0,-0.698222,108,B
1.05959,-0.128571,-0.698222,108,B
1.05959,-0.128571,-0.698222,109,L
1.05959,-0.128571,0,109,L
1.05959,-0.128571,0,110,A
1.25959,-0.128571,0,110,A
1.25959,-0.128571,0,111,R
1.05959,-0.128571,-1.39644,111,R
1.05959,-0.128571,-1.39644,112,A
1.09429,-0.325539,-1.39644,112,A
1.09429,-0.325539,-1.39644,113,R
0.706395,0,-1.39644,113,R
0.706395,0,-1.39644,114,B
0.741088,-0.196968,-1.39644,114,B
0.741088,-0.196968,-1.39644,115,L
0.741088,-0.196968,-0.698222,115,L
0.741088,-0.196968,-0.698222,116,B
0.894286,-0.325539,-0.698222,116,B
0.894286,-0.325539,-0.698222,117,L
0.894286,-0.325539,0,117,L
0.894286,-0.325539,0,118,A
1.09429,-0.325539,0,118,A
1.09429,-0.325539,0,119,R
0.894286,-0.325539,-1.39644,119,R
0.894286,-0.325539,-1.39644,120,A
0.92898,-0.522507,-1.39644,120,A
0.92898,-0.522507,-1.39644,121,R
0.741088,-0.196968,-2.09467,121,R
0.741088,-0.196968,-2.09467,122,B
0.641041,-0.370146,-2.09467,122,B
0.641041,-0.370146,-2.09467,123,L
0.641041,-0.370146,-1.39644,123,L
0.641041,-0.370146,-1.39644,124,A
0.675735,-0.567114,-1.39644,124,A
0.675735,-0.567114,-1.39644,125,R
0.641041,-0.370146,-2.79289,125,R
0.641041,-0.370146,-2.79289,126,A
0.453078,-0.438482,-2.79289,126,A
0.453078,-0.438482,-2.79289,127,R
0.2,0,-0.698222,127,R
0.2,0,-0.698222,128,B
0.353197,-0.128571,-0.698222,128,B
